Rihlapera simulated pointing data
:EQUAT
+62 13 01
03 10 59 +47 51 49 03 11 30 +47 46 29 15 11.659
23 24 27 +37 50 04 23 24 37 +37 46 22 15 13.201
22 30 18 +55 24 32 22 29 47 +55 11 14 15 16.245
20 40 20 +17 29 26 20 40 24 +17 37 46 15 18.769
19 55 43 +34 42 24 19 56 07 +34 38 31 15 21.419
18 48 01 +49 56 09 18 48 09 +50 00 07 15 23.677
18 13 04 -00 24 14 18 12 57 -00 23 43 15 25.939
17 47 36 +18 19 09 17 47 47 +18 25 00 15 28.393
17 15 43 +36 56 49 17 15 52 +36 57 11 15 30.645
16 22 02 +54 25 14 16 21 52 +54 28 36 15 32.911
15 36 09 -07 43 28 15 35 56 -07 46 05 15 35.290
15 39 15 +12 08 49 15 38 41 +12 12 07 15 38.184
15 39 54 +32 11 11 15 40 22 +32 12 17 15 39.697
15 42 15 +52 09 02 15 42 00 +52 12 01 15 41.197
12 56 30 -00 20 13 12 56 23 -00 23 39 15 42.787
13 26 22 +18 30 00 13 26 07 +18 25 00 15 45.553
14 02 39 +36 51 14 14 01 52 +36 57 20 15 47.092
14 59 28 +54 28 49 14 59 46 +54 28 41 15 48.744
10 29 09 +17 35 35 10 29 12 +17 37 42 15 50.550
11 19 01 +34 35 44 11 19 00 +34 38 35 15 53.727
12 30 34 +49 57 21 12 30 56 +49 59 50 15 55.437
07 46 34 +38 01 31 07 46 22 +37 46 05 15 57.481
END
